Analysis Type	NCBI BioProject ID (Strain 1)	Strain 1	GI (Strain 1)	Locus Tag (Strain 1)	NCBI RefSeq Accession (Strain 1)	Description (Strain 1)	NCBI BioProject ID (Strain 2)	Strain 2	GI (Strain 2)	Locus Tag (Strain 2)	NCBI RefSeq Accession (Strain 2)	Description (Strain 2)	Inparalogs	Strain 1 Inparalogs (Locus Tag/Name)	Strain 2 Inparalogs (Locus Tag/Name)	Ortholuge Class
rbb	57945	Pseudomonas aeruginosa PAO1	15597840	PA2644	NP_251334.1	NADH dehydrogenase subunit I	57977	Pseudomonas aeruginosa UCBPP-PA14	116050631	PA14_29920	WP_003090467.1	NADH dehydrogenase subunit I				
rbb	57945	Pseudomonas aeruginosa PAO1	15597841	PA2645	NP_251335.1	NADH dehydrogenase subunit J	57977	Pseudomonas aeruginosa UCBPP-PA14	116050632	PA14_29900	WP_003090473.1	NADH dehydrogenase subunit J				
rbb	57945	Pseudomonas aeruginosa PAO1	15597842	PA2646	NP_251336.1	NADH dehydrogenase subunit K	57977	Pseudomonas aeruginosa UCBPP-PA14	116050633	PA14_29890	WP_003090475.1	NADH dehydrogenase subunit K				
rbb	57945	Pseudomonas aeruginosa PAO1	15597843	PA2647	NP_251337.1	NADH dehydrogenase subunit L	57977	Pseudomonas aeruginosa UCBPP-PA14	116050634	PA14_29880	WP_003138929.1	NADH dehydrogenase subunit L				
rbb	57945	Pseudomonas aeruginosa PAO1	15597844	PA2648	NP_251338.1	NADH dehydrogenase subunit M	57977	Pseudomonas aeruginosa UCBPP-PA14	116050635	PA14_29860	WP_003090479.1	NADH dehydrogenase subunit M				
rbb	57945	Pseudomonas aeruginosa PAO1	15597845	PA2649	NP_251339.1	NADH dehydrogenase subunit N	57977	Pseudomonas aeruginosa UCBPP-PA14	116050636	PA14_29850	WP_003090482.1	NADH dehydrogenase subunit N				
rbb	57945	Pseudomonas aeruginosa PAO1	15597846	PA2650	NP_251340.1	hypothetical protein	57977	Pseudomonas aeruginosa UCBPP-PA14	116050637	PA14_29830	WP_003138925.1	putative methyltransferase				
rbb	57945	Pseudomonas aeruginosa PAO1	15597847	PA2651	NP_251341.1	hypothetical protein	57977	Pseudomonas aeruginosa UCBPP-PA14	116050638	PA14_29820	WP_003090487.1	hypothetical protein				
rbb	57945	Pseudomonas aeruginosa PAO1	15597848	PA2652	NP_251342.1	chemotaxis transducer	57977	Pseudomonas aeruginosa UCBPP-PA14	116050639	PA14_29800	WP_003090488.1	putative chemotaxis transducer				
rbb	57945	Pseudomonas aeruginosa PAO1	15597849	PA2653	NP_251343.1	transporter	57977	Pseudomonas aeruginosa UCBPP-PA14	116050640	PA14_29770	WP_003108736.1	putative transporter				
rbb	57945	Pseudomonas aeruginosa PAO1	15597850	PA2654	NP_251344.1	chemotaxis transducer	57977	Pseudomonas aeruginosa UCBPP-PA14	116050641	PA14_29760	WP_003138920.1	putative chemotaxis transducer				
rbb	57945	Pseudomonas aeruginosa PAO1	15597851	PA2655	NP_251345.1	hypothetical protein	57977	Pseudomonas aeruginosa UCBPP-PA14	116050642	PA14_29750	WP_003097699.1	hypothetical protein				
rbb	57945	Pseudomonas aeruginosa PAO1	15597852	PA2656	NP_251346.1	two-component sensor	57977	Pseudomonas aeruginosa UCBPP-PA14	116050643	PA14_29740	WP_003097701.1	putative two-component sensor				
rbb	57945	Pseudomonas aeruginosa PAO1	15597853	PA2657	NP_251347.1	two-component response regulator	57977	Pseudomonas aeruginosa UCBPP-PA14	116050644	PA14_29730	WP_003090494.1	putative two-component response regulator				
rbb	57945	Pseudomonas aeruginosa PAO1	15597854	PA2658	NP_251348.1	hypothetical protein	57977	Pseudomonas aeruginosa UCBPP-PA14	116050645	PA14_29720	WP_003097704.1	hypothetical protein				
rbb	57945	Pseudomonas aeruginosa PAO1	15597855	PA2659	NP_251349.1	hypothetical protein	57977	Pseudomonas aeruginosa UCBPP-PA14	116050646	PA14_29710	WP_003090497.1	hypothetical protein				
rbb	57945	Pseudomonas aeruginosa PAO1	15597856	PA2660	NP_251350.1	hypothetical protein	57977	Pseudomonas aeruginosa UCBPP-PA14	116050647	PA14_29690	WP_003138917.1	hypothetical protein				
rbb	57945	Pseudomonas aeruginosa PAO1	15597857	PA2661	NP_251351.1	hypothetical protein	57977	Pseudomonas aeruginosa UCBPP-PA14	116050648	PA14_29680	WP_003131077.1	hypothetical protein				
rbb	57945	Pseudomonas aeruginosa PAO1	15597858	PA2662	NP_251352.1	hypothetical protein	57977	Pseudomonas aeruginosa UCBPP-PA14	116050649	PA14_29660	WP_003138915.1	hypothetical protein				
rbb	57945	Pseudomonas aeruginosa PAO1	15597859	PA2663	NP_251353.1	psl and pyoverdine operon regulator, PpyR	57977	Pseudomonas aeruginosa UCBPP-PA14	116050650	PA14_29650	WP_003090502.1	hypothetical protein				
rbb	57945	Pseudomonas aeruginosa PAO1	15597860	PA2664	NP_251354.1	nitric oxide dioxygenase	57977	Pseudomonas aeruginosa UCBPP-PA14	116050651	PA14_29640	WP_003138913.1	nitric oxide dioxygenase				
rbb	57945	Pseudomonas aeruginosa PAO1	15597861	PA2665	NP_251355.1	anaerobic nitric oxide reductase transcription regulator	57977	Pseudomonas aeruginosa UCBPP-PA14	116050652	PA14_29620	WP_003090504.1	anaerobic nitric oxide reductase transcription regulator				
rbb	57945	Pseudomonas aeruginosa PAO1	15597862	PA2666	NP_251356.1	6-pyruvoyl tetrahydrobiopterin synthase	57977	Pseudomonas aeruginosa UCBPP-PA14	116050653	PA14_29600	WP_003090505.1	putative 6-pyruvoyl-tetrahydropterin synthase				
rbb	57945	Pseudomonas aeruginosa PAO1	15597863	PA2667	NP_251357.1	hypothetical protein	57977	Pseudomonas aeruginosa UCBPP-PA14	116050654	PA14_29590	WP_003090506.1	putative transcriptional regulator				
rbb	57945	Pseudomonas aeruginosa PAO1	15597864	PA2668	NP_251358.1	hypothetical protein	57977	Pseudomonas aeruginosa UCBPP-PA14	116054428	PA14_29575	WP_003097713.1	hypothetical protein				
rbb	57945	Pseudomonas aeruginosa PAO1	15597865	PA2669	NP_251359.1	hypothetical protein	57977	Pseudomonas aeruginosa UCBPP-PA14	116050655	PA14_29570	WP_003138910.1	hypothetical protein				
rbb	57945	Pseudomonas aeruginosa PAO1	15597866	PA2670	NP_251360.1	hypothetical protein	57977	Pseudomonas aeruginosa UCBPP-PA14	116050656	PA14_29560	WP_003138908.1	hypothetical protein				
rbb	57945	Pseudomonas aeruginosa PAO1	15597867	PA2671	NP_251361.1	hypothetical protein	57977	Pseudomonas aeruginosa UCBPP-PA14	116050657	PA14_29550	WP_003138906.1	hypothetical protein				
rbb	57945	Pseudomonas aeruginosa PAO1	15597868	PA2672	NP_251362.1	type II secretion system protein	57977	Pseudomonas aeruginosa UCBPP-PA14	116050658	PA14_29540	WP_003138903.1	putative type II secretion system protein				
rbb	57945	Pseudomonas aeruginosa PAO1	15597869	PA2673	NP_251363.1	type II secretion system protein	57977	Pseudomonas aeruginosa UCBPP-PA14	116050659	PA14_29530	WP_003138901.1	type II secretion system protein				
rbb	57945	Pseudomonas aeruginosa PAO1	15597870	PA2674	NP_251364.1	type II secretion system protein	57977	Pseudomonas aeruginosa UCBPP-PA14	116050660	PA14_29520	WP_003110088.1	type II secretion system protein				
rbb	57945	Pseudomonas aeruginosa PAO1	15597871	PA2675	NP_251365.1	type II secretion system protein	57977	Pseudomonas aeruginosa UCBPP-PA14	116050661	PA14_29510	WP_003090519.1	putative type II secretion system protein				
rbb	57945	Pseudomonas aeruginosa PAO1	15597872	PA2676	NP_251366.1	type II secretion system protein	57977	Pseudomonas aeruginosa UCBPP-PA14	116050662	PA14_29500	WP_003138899.1	putative type II secretion system protein				
rbb	57945	Pseudomonas aeruginosa PAO1	15597873	PA2677	NP_251367.1	type II secretion protein	57977	Pseudomonas aeruginosa UCBPP-PA14	116050663	PA14_29490	WP_031628006.1	putative type II secretion protein				
rbb	57945	Pseudomonas aeruginosa PAO1	15597874	PA2678	NP_251368.1	ABC transporter permease	57977	Pseudomonas aeruginosa UCBPP-PA14	116050664	PA14_29480	WP_003131067.1	putative permease of ABC-2 transporter				
rbb	57945	Pseudomonas aeruginosa PAO1	15597875	PA2679	NP_251369.1	hypothetical protein	57977	Pseudomonas aeruginosa UCBPP-PA14	116050665	PA14_29470	WP_003138896.1	hypothetical protein				
rbb	57945	Pseudomonas aeruginosa PAO1	15597876	PA2680	NP_251370.1	quinone oxidoreductase	57977	Pseudomonas aeruginosa UCBPP-PA14	116050666	PA14_29460	WP_003110096.1	putative quinone oxidoreductase				
rbb	57945	Pseudomonas aeruginosa PAO1	15597877	PA2681	NP_251371.1	transcriptional regulator	57977	Pseudomonas aeruginosa UCBPP-PA14	116050667	PA14_29440	WP_011666623.1	LysR family transcriptional regulator				
rbb	57945	Pseudomonas aeruginosa PAO1	15597878	PA2682	NP_251372.1	hypothetical protein	57977	Pseudomonas aeruginosa UCBPP-PA14	116050668	PA14_29420	WP_003113399.1	hypothetical protein				
rbb	57945	Pseudomonas aeruginosa PAO1	15597879	PA2683	NP_251373.1	serine/threonine dehydratase	57977	Pseudomonas aeruginosa UCBPP-PA14	116050669	PA14_29410	WP_003090528.1	serine/threonine dehydratase				
rbb	57945	Pseudomonas aeruginosa PAO1	15597880	PA2684	NP_251374.1	hypothetical protein	57977	Pseudomonas aeruginosa UCBPP-PA14	116050670	PA14_29400	WP_003138894.1	hypothetical protein				
rbb	57945	Pseudomonas aeruginosa PAO1	15597881	PA2685	NP_251375.1	hypothetical protein	57977	Pseudomonas aeruginosa UCBPP-PA14	116050671	PA14_29390	WP_011666622.1	hypothetical protein				
rbb	57945	Pseudomonas aeruginosa PAO1	15597883	PA2687	NP_251377.1	two-component sensor PfeS	57977	Pseudomonas aeruginosa UCBPP-PA14	116050672	PA14_29360	WP_003138880.1	two-component sensor PfeS				
rbb	57945	Pseudomonas aeruginosa PAO1	15597884	PA2688	NP_251378.1	outer membrane receptor FepA	57977	Pseudomonas aeruginosa UCBPP-PA14	116050673	PA14_29350	WP_003138878.1	outer membrane receptor FepA				
rbb	57945	Pseudomonas aeruginosa PAO1	15597885	PA2689	NP_251379.1	hypothetical protein	57977	Pseudomonas aeruginosa UCBPP-PA14	116050674	PA14_29340	WP_003122580.1	hypothetical protein				
rbb	57945	Pseudomonas aeruginosa PAO1	15597887	PA2691	NP_251381.1	hypothetical protein	57977	Pseudomonas aeruginosa UCBPP-PA14	116050676	PA14_29320	WP_003138874.1	putative NADH dehydrogenase, FAD-containing subunit				
rbb	57945	Pseudomonas aeruginosa PAO1	15597888	PA2692	NP_251382.1	transcriptional regulator	57977	Pseudomonas aeruginosa UCBPP-PA14	116050677	PA14_29300	WP_003090553.1	putative transcriptional regulator				
rbb	57945	Pseudomonas aeruginosa PAO1	15597889	PA2693	NP_251383.1	hypothetical protein	57977	Pseudomonas aeruginosa UCBPP-PA14	116050678	PA14_29290	WP_003090555.1	hypothetical protein				
rbb	57945	Pseudomonas aeruginosa PAO1	15597890	PA2694	NP_251384.1	thioredoxin	57977	Pseudomonas aeruginosa UCBPP-PA14	116050679	PA14_29280	WP_003131054.1	putative thioredoxin				
rbb	57945	Pseudomonas aeruginosa PAO1	15597891	PA2695	NP_251385.1	hypothetical protein	57977	Pseudomonas aeruginosa UCBPP-PA14	116050680	PA14_29270	WP_003119474.1	putative outer membrane lipoprotein				
rbb	57945	Pseudomonas aeruginosa PAO1	15597892	PA2696	NP_251386.1	transcriptional regulator	57977	Pseudomonas aeruginosa UCBPP-PA14	116050681	PA14_29260	WP_003101508.1	putative transcriptional regulator				
rbb	57945	Pseudomonas aeruginosa PAO1	15597893	PA2697	NP_251387.1	hypothetical protein	57977	Pseudomonas aeruginosa UCBPP-PA14	116050682	PA14_29250	WP_003090560.1	hypothetical protein				
rbb	57945	Pseudomonas aeruginosa PAO1	15597894	PA2698	NP_251388.1	hydrolase	57977	Pseudomonas aeruginosa UCBPP-PA14	116050683	PA14_29240	WP_003090561.1	putative hydrolase				
rbb	57945	Pseudomonas aeruginosa PAO1	15597895	PA2699	NP_251389.1	hypothetical protein	57977	Pseudomonas aeruginosa UCBPP-PA14	116050684	PA14_29230	WP_016254226.1	hypothetical protein				
rbb	57945	Pseudomonas aeruginosa PAO1	15597896	PA2700	NP_251390.1	OpdB proline porin	57977	Pseudomonas aeruginosa UCBPP-PA14	116050685	PA14_29220	WP_003131049.1	putative porin				
rbb	57945	Pseudomonas aeruginosa PAO1	15597897	PA2701	NP_251391.1	major facilitator superfamily (MFS) transporter	57977	Pseudomonas aeruginosa UCBPP-PA14	116050686	PA14_29210	WP_003131047.1	putative MFS transporter				
rbb	57945	Pseudomonas aeruginosa PAO1	15597898	PA2702	NP_251392.1	hypothetical protein	57977	Pseudomonas aeruginosa UCBPP-PA14	116050687	PA14_29200	WP_003090565.1	hypothetical protein				
rbb	57945	Pseudomonas aeruginosa PAO1	15597899	PA2703	NP_251393.1	hypothetical protein	57977	Pseudomonas aeruginosa UCBPP-PA14	116050688	PA14_29190	WP_003090566.1	hypothetical protein				
rbb	57945	Pseudomonas aeruginosa PAO1	15597900	PA2704	NP_251394.1	transcriptional regulator	57977	Pseudomonas aeruginosa UCBPP-PA14	116050689	PA14_29180	WP_003090568.1	AraC family transcriptional regulator				
rbb	57945	Pseudomonas aeruginosa PAO1	15597901	PA2705	NP_251395.1	hypothetical protein	57977	Pseudomonas aeruginosa UCBPP-PA14	116050690	PA14_29160	WP_003090569.1	hypothetical protein				
rbb	57945	Pseudomonas aeruginosa PAO1	15597902	PA2706	NP_251396.1	hypothetical protein	57977	Pseudomonas aeruginosa UCBPP-PA14	116050691	PA14_29150	WP_003131045.1	hypothetical protein				
rbb	57945	Pseudomonas aeruginosa PAO1	15597903	PA2707	NP_251397.1	hypothetical protein	57977	Pseudomonas aeruginosa UCBPP-PA14	116050692	PA14_29130	WP_003090571.1	ATPase				
rbb	57945	Pseudomonas aeruginosa PAO1	15597904	PA2708	NP_251398.1	hypothetical protein	57977	Pseudomonas aeruginosa UCBPP-PA14	116050693	PA14_29120	WP_003090572.1	hypothetical protein				
rbb	57945	Pseudomonas aeruginosa PAO1	15597905	PA2709	NP_251399.1	cysteine synthase A	57977	Pseudomonas aeruginosa UCBPP-PA14	116050694	PA14_29110	WP_003090573.1	cysteine synthase A				
rbb	57945	Pseudomonas aeruginosa PAO1	15597906	PA2710	NP_251400.1	hypothetical protein	57977	Pseudomonas aeruginosa UCBPP-PA14	116050695	PA14_29100	WP_003090574.1	hypothetical protein				
rbb	57945	Pseudomonas aeruginosa PAO1	15597907	PA2711	NP_251401.1	periplasmic spermidine/putrescine-binding protein	57977	Pseudomonas aeruginosa UCBPP-PA14	116050696	PA14_29090	WP_003090575.1	putative periplasmic spermidine/putrescine-binding protein				
rbb	57945	Pseudomonas aeruginosa PAO1	15597908	PA2712	NP_251402.1	hypothetical protein	57977	Pseudomonas aeruginosa UCBPP-PA14	116050697	PA14_29070	WP_003131044.1	hypothetical protein				
rbb	57945	Pseudomonas aeruginosa PAO1	15597909	PA2713	NP_251403.1	hypothetical protein	57977	Pseudomonas aeruginosa UCBPP-PA14	116050698	PA14_29060	WP_003090577.1	putative transcriptional regulator				
rbb	57945	Pseudomonas aeruginosa PAO1	15597910	PA2714	NP_251404.1	molybdopterin oxidoreductase	57977	Pseudomonas aeruginosa UCBPP-PA14	116050699	PA14_29050	WP_003138868.1	putative molybdopterin oxidoreductase				
rbb	57945	Pseudomonas aeruginosa PAO1	15597911	PA2715	NP_251405.1	ferredoxin	57977	Pseudomonas aeruginosa UCBPP-PA14	116050700	PA14_29040	WP_003090580.1	putative ferredoxin				
rbb	57945	Pseudomonas aeruginosa PAO1	15597912	PA2716	NP_251406.1	FMN oxidoreductase	57977	Pseudomonas aeruginosa UCBPP-PA14	116050701	PA14_29030	WP_011666620.1	putative FMN oxidoreductase				
rbb	57945	Pseudomonas aeruginosa PAO1	15597913	PA2717	NP_251407.1	chloroperoxidase precursor	57977	Pseudomonas aeruginosa UCBPP-PA14	116050702	PA14_29020	WP_003116692.1	chloroperoxidase precursor				
rbb	57945	Pseudomonas aeruginosa PAO1	15597914	PA2718	NP_251408.1	transcriptional regulator	57977	Pseudomonas aeruginosa UCBPP-PA14	116050703	PA14_29010	WP_003090587.1	MerR family transcriptional regulator				
rbb	57945	Pseudomonas aeruginosa PAO1	15597915	PA2719	NP_251409.1	hypothetical protein	57977	Pseudomonas aeruginosa UCBPP-PA14	116050704	PA14_29000	WP_003138864.1	hypothetical protein				
rbb	57945	Pseudomonas aeruginosa PAO1	15597916	PA2720	NP_251410.1	hypothetical protein	57977	Pseudomonas aeruginosa UCBPP-PA14	116050705	PA14_28990	WP_003138862.1	hypothetical protein				
rbb	57945	Pseudomonas aeruginosa PAO1	15597917	PA2721	NP_251411.1	hypothetical protein	57977	Pseudomonas aeruginosa UCBPP-PA14	116050708	PA14_28960	WP_003090600.1	hypothetical protein				
rbb	57945	Pseudomonas aeruginosa PAO1	15597918	PA2722	NP_251412.1	hypothetical protein	57977	Pseudomonas aeruginosa UCBPP-PA14	116050709	PA14_28950	WP_003090602.1	hypothetical protein				
rbb	57945	Pseudomonas aeruginosa PAO1	15597919	PA2723	NP_251413.1	hypothetical protein	57977	Pseudomonas aeruginosa UCBPP-PA14	116050710	PA14_28940	WP_003090604.1	hypothetical protein				
rbb	57945	Pseudomonas aeruginosa PAO1	15597920	PA2724	NP_251414.1	hypothetical protein	57977	Pseudomonas aeruginosa UCBPP-PA14	116050711	PA14_28930	WP_003138859.1	hypothetical protein				
rbb	57945	Pseudomonas aeruginosa PAO1	15597921	PA2725	NP_251415.1	chaperone	57977	Pseudomonas aeruginosa UCBPP-PA14	116050712	PA14_28920	WP_016254228.1	putative chaperone				
rbb	57945	Pseudomonas aeruginosa PAO1	15597922	PA2726	NP_251416.1	radical activating enzyme	57977	Pseudomonas aeruginosa UCBPP-PA14	116050713	PA14_28910	WP_003138856.1	putative radical activating enzyme				
rbb	57945	Pseudomonas aeruginosa PAO1	15597923	PA2727	NP_251417.1	hypothetical protein	57977	Pseudomonas aeruginosa UCBPP-PA14	116054465	PA14_28895	WP_003138853.1	hypothetical protein				
rbb	57945	Pseudomonas aeruginosa PAO1	15597925	PA2729	NP_251419.1	hypothetical protein	57977	Pseudomonas aeruginosa UCBPP-PA14	116050714	PA14_28880	WP_003138852.1	hypothetical protein				
rbb	57945	Pseudomonas aeruginosa PAO1	15597933	PA2737	NP_251427.1	hypothetical protein	57977	Pseudomonas aeruginosa UCBPP-PA14	116050727	PA14_28730	WP_003090655.1	putative transcriptional regulator				
rbb	57945	Pseudomonas aeruginosa PAO1	15597934	PA2738	NP_251428.1	integration host factor subunit alpha	57977	Pseudomonas aeruginosa UCBPP-PA14	116050728	PA14_28720	WP_003090661.1	integration host factor subunit alpha				
rbb	57945	Pseudomonas aeruginosa PAO1	15597935	PA2739	NP_251429.1	phenylalanyl-tRNA synthetase subunit beta	57977	Pseudomonas aeruginosa UCBPP-PA14	116050729	PA14_28710	WP_003138844.1	phenylalanyl-tRNA synthetase subunit beta				
rbb	57945	Pseudomonas aeruginosa PAO1	15597936	PA2740	NP_251430.1	phenylalanyl-tRNA synthetase subunit alpha	57977	Pseudomonas aeruginosa UCBPP-PA14	116050730	PA14_28690	WP_003090666.1	phenylalanyl-tRNA synthetase subunit alpha				
rbb	57945	Pseudomonas aeruginosa PAO1	15597937	PA2741	NP_251431.1	50S ribosomal protein L20	57977	Pseudomonas aeruginosa UCBPP-PA14	116050731	PA14_28680	WP_003099086.1	50S ribosomal protein L20				
rbb	57945	Pseudomonas aeruginosa PAO1	15597938	PA2742	NP_251432.1	50S ribosomal protein L35	57977	Pseudomonas aeruginosa UCBPP-PA14	116050732	PA14_28670	WP_003090673.1	50S ribosomal protein L35				
rbb	57945	Pseudomonas aeruginosa PAO1	15597939	PA2743	NP_251433.1	translation initiation factor IF-3	57977	Pseudomonas aeruginosa UCBPP-PA14	116050733	PA14_28660	WP_003099089.1	translation initiation factor IF-3				
rbb	57945	Pseudomonas aeruginosa PAO1	15597940	PA2744	NP_251434.1	threonyl-tRNA synthetase	57977	Pseudomonas aeruginosa UCBPP-PA14	116050734	PA14_28650	WP_003090677.1	threonyl-tRNA synthetase				
rbb	57945	Pseudomonas aeruginosa PAO1	15597941	PA2745	NP_251435.1	hydrolase	57977	Pseudomonas aeruginosa UCBPP-PA14	116050735	PA14_28630	WP_003114410.1	putative hydrolase				
rbb	57945	Pseudomonas aeruginosa PAO1	15597942	PA2746	NP_251436.1	hypothetical protein	57977	Pseudomonas aeruginosa UCBPP-PA14	116050736	PA14_28620	WP_003090681.1	hypothetical protein				
rbb	57945	Pseudomonas aeruginosa PAO1	15597943	PA2747	NP_251437.1	hypothetical protein	57977	Pseudomonas aeruginosa UCBPP-PA14	116050738	PA14_28600	WP_003090684.1	hypothetical protein				
rbb	57945	Pseudomonas aeruginosa PAO1	15597944	PA2748	NP_251438.1	methionine aminopeptidase	57977	Pseudomonas aeruginosa UCBPP-PA14	116050739	PA14_28590	WP_003090687.1	putative methionine aminopeptidase				
rbb	57945	Pseudomonas aeruginosa PAO1	15597945	PA2749	NP_251439.1	DNA-specific endonuclease I	57977	Pseudomonas aeruginosa UCBPP-PA14	116050741	PA14_28570	WP_003099106.1	DNA-specific endonuclease I				
rbb	57945	Pseudomonas aeruginosa PAO1	15597946	PA2750	NP_251440.1	hypothetical protein	57977	Pseudomonas aeruginosa UCBPP-PA14	116050742	PA14_28560	WP_003138836.1	hypothetical protein				
rbb	57945	Pseudomonas aeruginosa PAO1	15597947	PA2751	NP_251441.1	hypothetical protein	57977	Pseudomonas aeruginosa UCBPP-PA14	116050744	PA14_28530	WP_003090797.1	hypothetical protein				
rbb	57945	Pseudomonas aeruginosa PAO1	15597948	PA2752	NP_251442.1	hypothetical protein	57977	Pseudomonas aeruginosa UCBPP-PA14	116050746	PA14_28510	WP_026651529.1	hypothetical protein				
rbb	57945	Pseudomonas aeruginosa PAO1	15597949	PA2753	NP_251443.1	hypothetical protein	57977	Pseudomonas aeruginosa UCBPP-PA14	116050747	PA14_28500	WP_003090800.1	hypothetical protein				
rbb	57945	Pseudomonas aeruginosa PAO1	15597950	PA2754	NP_251444.1	hypothetical protein	57977	Pseudomonas aeruginosa UCBPP-PA14	116050748	PA14_28490	WP_003090802.1	hypothetical protein				
rbb	57945	Pseudomonas aeruginosa PAO1	15597951	PA2755	NP_251445.1	ecotin	57977	Pseudomonas aeruginosa UCBPP-PA14	116050751	PA14_28450	WP_003138832.1	ecotin				
rbb	57945	Pseudomonas aeruginosa PAO1	15597952	PA2756	NP_251446.1	hypothetical protein	57977	Pseudomonas aeruginosa UCBPP-PA14	116050752	PA14_28440	WP_003160516.1	hypothetical protein				
rbb	57945	Pseudomonas aeruginosa PAO1	15597953	PA2757	NP_251447.1	hypothetical protein	57977	Pseudomonas aeruginosa UCBPP-PA14	116050753	PA14_28430	WP_003090812.1	hypothetical protein				
rbb	57945	Pseudomonas aeruginosa PAO1	15597954	PA2758	NP_251448.1	transcriptional regulator	57977	Pseudomonas aeruginosa UCBPP-PA14	116050754	PA14_28420	WP_003090813.1	LysR family transcriptional regulator				
rbb	57945	Pseudomonas aeruginosa PAO1	15597955	PA2759	NP_251449.1	hypothetical protein	57977	Pseudomonas aeruginosa UCBPP-PA14	116050755	PA14_28410	WP_003090814.1	hypothetical protein				
rbb	57945	Pseudomonas aeruginosa PAO1	15597956	PA2760	NP_251450.1	outer membrane protein precursor	57977	Pseudomonas aeruginosa UCBPP-PA14	116050756	PA14_28400	WP_003099122.1	outer membrane OprD family porin				
rbb	57945	Pseudomonas aeruginosa PAO1	15597957	PA2761	NP_251451.1	hypothetical protein	57977	Pseudomonas aeruginosa UCBPP-PA14	116050757	PA14_28390	WP_003160518.1	hypothetical protein				
rbb	57945	Pseudomonas aeruginosa PAO1	15597958	PA2762	NP_251452.1	hypothetical protein	57977	Pseudomonas aeruginosa UCBPP-PA14	116050758	PA14_28380	WP_003090818.1	hypothetical protein				
rbb	57945	Pseudomonas aeruginosa PAO1	15597959	PA2763	NP_251453.1	hypothetical protein	57977	Pseudomonas aeruginosa UCBPP-PA14	116050759	PA14_28370	WP_003090820.1	hypothetical protein				
rbb	57945	Pseudomonas aeruginosa PAO1	15597960	PA2764	NP_251454.1	hypothetical protein	57977	Pseudomonas aeruginosa UCBPP-PA14	116050761	PA14_28350	WP_003090823.1	hypothetical protein				
rbb	57945	Pseudomonas aeruginosa PAO1	15597961	PA2765	NP_251455.1	hypothetical protein	57977	Pseudomonas aeruginosa UCBPP-PA14	116050762	PA14_28340	WP_003099129.1	hypothetical protein				
rbb	57945	Pseudomonas aeruginosa PAO1	15597962	PA2766	NP_251456.1	transcriptional regulator	57977	Pseudomonas aeruginosa UCBPP-PA14	116050764	PA14_28320	WP_003090825.1	TetR family transcriptional regulator				
rbb	57945	Pseudomonas aeruginosa PAO1	15597963	PA2767	NP_251457.1	enoyl-CoA hydratase/isomerase	57977	Pseudomonas aeruginosa UCBPP-PA14	116050765	PA14_28310	WP_003090826.1	putative enoyl-CoA hydratase				
rbb	57945	Pseudomonas aeruginosa PAO1	15597964	PA2768	NP_251458.1	hypothetical protein	57977	Pseudomonas aeruginosa UCBPP-PA14	116050766	PA14_28300	WP_003138824.1	hypothetical protein				
rbb	57945	Pseudomonas aeruginosa PAO1	15597965	PA2769	NP_251459.1	hypothetical protein	57977	Pseudomonas aeruginosa UCBPP-PA14	116050767	PA14_28290	WP_003138822.1	hypothetical protein				
rbb	57945	Pseudomonas aeruginosa PAO1	15597966	PA2770	NP_251460.1	hypothetical protein	57977	Pseudomonas aeruginosa UCBPP-PA14	116050768	PA14_28280	WP_003108892.1	PhzF family phenazine biosynthesis protein				
rbb	57945	Pseudomonas aeruginosa PAO1	15597969	PA2773	NP_251463.1	hypothetical protein	57977	Pseudomonas aeruginosa UCBPP-PA14	116050773	PA14_28220	WP_009313940.1	hypothetical protein				
rbb	57945	Pseudomonas aeruginosa PAO1	15597970	PA2774	NP_251464.1	hypothetical protein	57977	Pseudomonas aeruginosa UCBPP-PA14	116050774	PA14_28210	WP_003138819.1	hypothetical protein				
rbb	57945	Pseudomonas aeruginosa PAO1	15597971	PA2775	NP_251465.1	hypothetical protein	57977	Pseudomonas aeruginosa UCBPP-PA14	116050775	PA14_28200	WP_003138818.1	hypothetical protein				
rbb	57945	Pseudomonas aeruginosa PAO1	15597972	PA2776	NP_251466.1	hypothetical protein	57977	Pseudomonas aeruginosa UCBPP-PA14	116050776	PA14_28180	WP_003114430.1	hypothetical protein				
rbb	57945	Pseudomonas aeruginosa PAO1	15597973	PA2777	NP_251467.1	hypothetical protein	57977	Pseudomonas aeruginosa UCBPP-PA14	116050777	PA14_28170	WP_003138815.1	formate/nitrate transporter				
rbb	57945	Pseudomonas aeruginosa PAO1	15597974	PA2778	NP_251468.1	hypothetical protein	57977	Pseudomonas aeruginosa UCBPP-PA14	116050778	PA14_28150	WP_009313934.1	hypothetical protein				
rbb	57945	Pseudomonas aeruginosa PAO1	15597975	PA2779	NP_251469.1	hypothetical protein	57977	Pseudomonas aeruginosa UCBPP-PA14	116050779	PA14_28140	WP_003090843.1	hypothetical protein				
rbb	57945	Pseudomonas aeruginosa PAO1	15597976	PA2780	NP_251470.1	hypothetical protein	57977	Pseudomonas aeruginosa UCBPP-PA14	116050780	PA14_28130	WP_003115217.1	hypothetical protein				
rbb	57945	Pseudomonas aeruginosa PAO1	15597977	PA2781	NP_251471.1	hypothetical protein	57977	Pseudomonas aeruginosa UCBPP-PA14	116050781	PA14_28120	WP_003090845.1	hypothetical protein				
